scenario,round,client,value
noniid_global_overlap_0,3,client_3,0.0020333333333333314
noniid_global_overlap_0,4,client_1,0.0005666666666666782
noniid_global_overlap_0,4,client_2,0.0009666666666666341
noniid_global_overlap_0,4,client_3,0.0007666666666666562
noniid_global_overlap_0,5,client_1,0.00014999999999998348
noniid_global_overlap_0,5,client_2,-0.0008000000000000229
noniid_global_overlap_0,5,client_3,0.00024999999999997247
noniid_pairwise_overlap_25,1,client_1,0.21855000000000002
noniid_pairwise_overlap_25,1,client_2,0.1795
noniid_pairwise_overlap_25,1,client_3,0.22294999999999998
noniid_pairwise_overlap_25,2,client_1,0.053666666666666654
noniid_pairwise_overlap_25,2,client_2,0.049566666666666676
noniid_pairwise_overlap_25,2,client_3,0.06146666666666663
noniid_pairwise_overlap_25,3,client_1,0.007050000000000042
noniid_pairwise_overlap_25,3,client_2,0.026000000000000037
noniid_pairwise_overlap_25,3,client_3,0.0017499999999999738
noniid_pairwise_overlap_25,4,client_1,-0.01731666666666666
noniid_pairwise_overlap_25,4,client_2,0.0441333333333333
noniid_pairwise_overlap_25,4,client_3,-0.010916666666666713
noniid_pairwise_overlap_25,5,client_1,-0.02966666666666666
noniid_pairwise_overlap_25,5,client_2,0.05728333333333334
noniid_pairwise_overlap_25,5,client_3,-0.013616666666666652
noniid_global_overlap_25,1,client_1,0.13416666666666666
noniid_global_overlap_25,1,client_2,0.13291666666666668
noniid_global_overlap_25,1,client_3,0.12981666666666664
noniid_global_overlap_25,2,client_1,0.005016666666666707
noniid_global_overlap_25,2,client_2,0.0030666666666666433
noniid_global_overlap_25,2,client_3,0.00341666666666666
noniid_global_overlap_25,3,client_1,-0.001800000000000005
noniid_global_overlap_25,3,client_2,0.0026999999999999984
noniid_global_overlap_25,3,client_3,0.0020000000000000204
noniid_global_overlap_25,4,client_1,0.0006499999999999654
noniid_global_overlap_25,4,client_2,0.0010500000000000322
noniid_global_overlap_25,4,client_3,0.0004999999999999819
noniid_global_overlap_25,5,client_1,0.00011666666666665382
noniid_global_overlap_25,5,client_2,-0.000383333333333291
noniid_global_overlap_25,5,client_3,-0.0010333333333333306
noniid_pairwise_overlap_50,1,client_1,0.21711666666666668
noniid_pairwise_overlap_50,1,client_2,0.17051666666666665
noniid_pairwise_overlap_50,1,client_3,0.21446666666666664
noniid_pairwise_overlap_50,2,client_1,0.06284999999999999
noniid_pairwise_overlap_50,2,client_2,0.06054999999999999
noniid_pairwise_overlap_50,2,client_3,0.06149999999999996
noniid_pairwise_overlap_50,3,client_1,0.000333333333333366
noniid_pairwise_overlap_50,3,client_2,0.015933333333333355
noniid_pairwise_overlap_50,3,client_3,0.0054333333333333456
noniid_pairwise_overlap_50,4,client_1,-0.01446666666666667
noniid_pairwise_overlap_50,4,client_2,0.050733333333333366
noniid_pairwise_overlap_50,4,client_3,-0.007966666666666691
noniid_pairwise_overlap_50,5,client_1,-0.03274999999999996
noniid_pairwise_overlap_50,5,client_2,0.055850000000000025
noniid_pairwise_overlap_50,5,client_3,-0.009399999999999978
noniid_global_overlap_50,1,client_1,0.1340666666666667
noniid_global_overlap_50,1,client_2,0.13201666666666667
noniid_global_overlap_50,1,client_3,0.13381666666666667
noniid_global_overlap_50,2,client_1,0.0031666666666666323
noniid_global_overlap_50,2,client_2,0.003466666666666655
noniid_global_overlap_50,2,client_3,0.002566666666666643
noniid_global_overlap_50,3,client_1,-0.0017833333333333035
noniid_global_overlap_50,3,client_2,0.002366666666666683
noniid_global_overlap_50,3,client_3,0.0016166666666667104
noniid_global_overlap_50,4,client_1,0.0009166666666666582
noniid_global_overlap_50,4,client_2,0.0013166666666666698
noniid_global_overlap_50,4,client_3,-0.0003333333333333151
noniid_global_overlap_50,5,client_1,-0.00026666666666667427
noniid_global_overlap_50,5,client_2,-0.0005666666666666968
noniid_global_overlap_50,5,client_3,0.0001333333333333371
noniid_pairwise_overlap_75,1,client_1,0.21640000000000004
noniid_pairwise_overlap_75,1,client_2,0.1714
noniid_pairwise_overlap_75,1,client_3,0.2153
noniid_pairwise_overlap_75,2,client_1,0.05513333333333336
noniid_pairwise_overlap_75,2,client_2,0.047033333333333316
noniid_pairwise_overlap_75,2,client_3,0.06133333333333329
noniid_pairwise_overlap_75,3,client_1,0.0013999999999999985
noniid_pairwise_overlap_75,3,client_2,0.039149999999999976
noniid_pairwise_overlap_75,3,client_3,0.014850000000000016
noniid_pairwise_overlap_75,4,client_1,-0.013300000000000048
noniid_pairwise_overlap_75,4,client_2,0.048450000000000035
noniid_pairwise_overlap_75,4,client_3,-0.018850000000000006
noniid_pairwise_overlap_75,5,client_1,-0.023349999999999982
noniid_pairwise_overlap_75,5,client_2,0.06360000000000003
noniid_pairwise_overlap_75,5,client_3,-0.021349999999999994
noniid_global_overlap_75,1,client_1,0.13459999999999997
noniid_global_overlap_75,1,client_2,0.13459999999999994
noniid_global_overlap_75,1,client_3,0.1328
noniid_global_overlap_75,2,client_1,0.001966666666666672
noniid_global_overlap_75,2,client_2,0.002416666666666678
noniid_global_overlap_75,2,client_3,0.0022166666666667
noniid_global_overlap_75,3,client_1,-0.0017166666666666999
noniid_global_overlap_75,3,client_2,0.0023833333333333484
noniid_global_overlap_75,3,client_3,0.001533333333333331
noniid_global_overlap_75,4,client_1,0.00048333333333333556
noniid_global_overlap_75,4,client_2,0.000833333333333297
noniid_global_overlap_75,4,client_3,0.000983333333333336
noniid_global_overlap_75,5,client_1,-0.0004333333333333041
noniid_global_overlap_75,5,client_2,0.0006166666666666912
noniid_global_overlap_75,5,client_3,1.666666666670183e-05
noniid_pairwise_overlap_100,1,client_1,0.21621666666666667
noniid_pairwise_overlap_100,1,client_2,0.1759666666666666
noniid_pairwise_overlap_100,1,client_3,0.21851666666666666
noniid_pairwise_overlap_100,2,client_1,0.058116666666666664
noniid_pairwise_overlap_100,2,client_2,0.05296666666666672
noniid_pairwise_overlap_100,2,client_3,0.06011666666666665
noniid_pairwise_overlap_100,3,client_1,-0.0013999999999999846
noniid_pairwise_overlap_100,3,client_2,0.03230000000000002
noniid_pairwise_overlap_100,3,client_3,0.00480000000000004
noniid_pairwise_overlap_100,4,client_1,-0.005566666666666678
noniid_pairwise_overlap_100,4,client_2,0.045933333333333326
noniid_pairwise_overlap_100,4,client_3,-0.018566666666666717
noniid_pairwise_overlap_100,5,client_1,-0.027733333333333346
noniid_pairwise_overlap_100,5,client_2,0.06026666666666666
noniid_pairwise_overlap_100,5,client_3,-0.018733333333333324
noniid_global_overlap_100,1,client_1,0.13463333333333333
noniid_global_overlap_100,1,client_2,0.1343333333333333
noniid_global_overlap_100,1,client_3,0.13113333333333335
noniid_global_overlap_100,2,client_1,0.0041500000000000235
noniid_global_overlap_100,2,client_2,0.0028500000000000005
noniid_global_overlap_100,2,client_3,0.0014999999999999827
noniid_global_overlap_100,3,client_1,-0.000683333333333295
noniid_global_overlap_100,3,client_2,0.0017666666666666568
noniid_global_overlap_100,3,client_3,0.0018166666666666513
noniid_global_overlap_100,4,client_1,0.0006333333333333006
noniid_global_overlap_100,4,client_2,8.333333333330564e-05
noniid_global_overlap_100,4,client_3,-0.0002166666666666613
noniid_global_overlap_100,5,client_1,-0.0002666666666666373
noniid_global_overlap_100,5,client_2,0.0011833333333333695
noniid_global_overlap_100,5,client_3,0.0006833333333333136
