scenario,method,round,client,value
noniid_pairwise_overlap_25,exhaustive,2,client_1,0.2764
noniid_pairwise_overlap_25,exhaustive,2,client_2,0.18230000000000002
noniid_pairwise_overlap_25,exhaustive,2,client_3,0.27365
noniid_pairwise_overlap_25,exhaustive,3,client_1,0.28126666666666666
noniid_pairwise_overlap_25,exhaustive,3,client_2,0.1934833333333333
noniid_pairwise_overlap_25,exhaustive,3,client_3,0.28455
noniid_pairwise_overlap_25,exhaustive,4,client_1,0.2829666666666667
noniid_pairwise_overlap_25,exhaustive,4,client_2,0.2041666666666667
noniid_pairwise_overlap_25,exhaustive,4,client_3,0.28515
noniid_pairwise_overlap_25,exhaustive,5,client_1,0.2801666666666667
noniid_pairwise_overlap_25,exhaustive,5,client_2,0.20948333333333338
noniid_pairwise_overlap_25,exhaustive,5,client_3,0.28773333333333334
noniid_global_overlap_25,exhaustive,1,client_1,0.13276666666666667
noniid_global_overlap_25,exhaustive,1,client_2,0.13423333333333334
noniid_global_overlap_25,exhaustive,1,client_3,0.13346666666666665
noniid_global_overlap_25,exhaustive,2,client_1,0.13653333333333334
noniid_global_overlap_25,exhaustive,2,client_2,0.13568333333333335
noniid_global_overlap_25,exhaustive,2,client_3,0.13715
noniid_global_overlap_25,exhaustive,3,client_1,0.13778333333333334
noniid_global_overlap_25,exhaustive,3,client_2,0.1371166666666667
noniid_global_overlap_25,exhaustive,3,client_3,0.13693333333333332
noniid_global_overlap_25,exhaustive,4,client_1,0.13754999999999998
noniid_global_overlap_25,exhaustive,4,client_2,0.13743333333333335
noniid_global_overlap_25,exhaustive,4,client_3,0.13771666666666668
noniid_global_overlap_25,exhaustive,5,client_1,0.13848333333333332
noniid_global_overlap_25,exhaustive,5,client_2,0.13790000000000002
noniid_global_overlap_25,exhaustive,5,client_3,0.13676666666666668
noniid_pairwise_overlap_50,exhaustive,1,client_1,0.20330000000000004
noniid_pairwise_overlap_50,exhaustive,1,client_2,0.1581
noniid_pairwise_overlap_50,exhaustive,1,client_3,0.21666666666666667
noniid_pairwise_overlap_50,exhaustive,2,client_1,0.2746
